Performance,Intervention,Age
2,Acont,younger
3,Acont,younger
3,Acont,younger
1,Acont,younger
2,Acont,younger
2,Acont,younger
3,Acont,younger
3,Acont,younger
4,Acont,younger
2,Acont,younger
7,Acont,older
9,Acont,older
10,Acont,older
8,Acont,older
9,Acont,older
10,Acont,older
10,Acont,older
9,Acont,older
9,Acont,older
8,Acont,older
3,Bcog,younger
3,Bcog,younger
4,Bcog,younger
5,Bcog,younger
4,Bcog,younger
4,Bcog,younger
5,Bcog,younger
5,Bcog,younger
3,Bcog,younger
4,Bcog,younger
11,Bcog,older
13,Bcog,older
15,Bcog,older
13,Bcog,older
12,Bcog,older
12,Bcog,older
13,Bcog,older
14,Bcog,older
12,Bcog,older
13,Bcog,older
5,Cbeh,younger
5,Cbeh,younger
4,Cbeh,younger
6,Cbeh,younger
6,Cbeh,younger
7,Cbeh,younger
5,Cbeh,younger
6,Cbeh,younger
6,Cbeh,younger
7,Cbeh,younger
17,Cbeh,older
16,Cbeh,older
17,Cbeh,older
18,Cbeh,older
15,Cbeh,older
18,Cbeh,older
17,Cbeh,older
18,Cbeh,older
16,Cbeh,older
19,Cbeh,older
